City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodinsk,58.6881,99.1844,18.74,65,94,1.39,RU,1691715688
1,ushuaia,-54.8,-68.3,0.81,100,75,3.09,AR,1691715688
2,port-aux-francais,-49.35,70.2167,3.42,78,53,16.32,TF,1691715688
3,bethel,41.3712,-73.414,21.47,86,100,1.24,US,1691715688
4,darnah,32.767,22.6367,25.06,67,0,7.85,LY,1691715688
5,waitangi,-43.9535,-176.5597,12.68,90,100,2.68,NZ,1691715688
6,xilin hot,43.9667,116.0333,24.16,70,91,1.97,CN,1691715514
7,constantia,44.1833,28.65,20.39,59,95,6.15,RO,1691715399
8,hinton,53.4001,-117.5857,20.11,38,50,5.14,CA,1691715689
9,ust-tsilma,65.441,52.1498,12.01,81,5,1.0,RU,1691715689
10,olyokminsk,60.3736,120.4264,25.27,47,100,2.49,RU,1691715689
11,adamstown,-25.066,-130.1015,17.96,61,14,10.53,PN,1691715689
12,margaret river,-33.95,115.0667,13.71,70,23,2.17,AU,1691715689
13,isafjordur,66.0755,-23.124,6.54,89,47,4.51,IS,1691715689
14,shelbyville,35.4834,-86.4603,25.69,1,1,1.94,US,1691715690
15,codrington,-38.2667,141.9667,12.85,73,100,6.03,AU,1691715417
16,yeniseysk,58.4497,92.1703,16.58,76,100,2.3,RU,1691715690
17,piskent,40.8972,69.3506,24.04,34,0,1.73,UZ,1691715690
18,mangrol,21.1167,70.1167,26.68,82,100,6.66,IN,1691715690
19,qaqortoq,60.7167,-46.0333,6.67,78,100,0.56,GL,1691715690
20,grytviken,-54.2811,-36.5092,-0.23,98,100,5.23,GS,1691715690
21,puerto natales,-51.7236,-72.4875,-0.47,94,17,1.9,CL,1691715690
22,west island,-12.1568,96.8225,24.99,88,100,5.66,CC,1691715691
23,stanley,54.868,-1.6985,18.83,86,0,2.06,GB,1691715691
24,ishikawa,26.4233,127.8214,29.18,84,40,1.54,JP,1691715691
25,camalu,30.85,-116.0667,22.42,75,0,4.28,MX,1691715691
26,pacasmayo,-7.4006,-79.5714,20.27,81,36,6.65,PE,1691715691
27,piti village,13.4626,144.6933,27.16,91,100,3.09,GU,1691715691
28,kapuskasing,49.4169,-82.4331,17.05,72,75,4.63,CA,1691715568
29,burley,42.5357,-113.7928,29.05,19,0,6.54,US,1691715691
30,pasni,25.2631,63.471,27.08,81,91,5.17,PK,1691715691
31,tiksi,71.6872,128.8694,19.5,39,7,5.06,RU,1691715692
32,iqaluit,63.7506,-68.5145,5.85,93,75,4.47,CA,1691715616
33,alabat,14.1028,122.0153,28.84,74,67,2.42,PH,1691715692
34,albany,42.6001,-73.9662,20.58,89,72,1.22,US,1691715656
35,turpan,42.9333,89.1667,35.96,18,0,2.94,CN,1691715692
36,nevele,51.0591,3.5577,19.09,81,0,3.12,BE,1691715692
37,igarape miri,-1.975,-48.9597,25.03,85,84,1.54,BR,1691715692
38,puerto ayora,-0.7393,-90.3518,24.75,94,65,1.34,EC,1691715692
39,nova sintra,14.8667,-24.7167,22.62,75,20,4.89,CV,1691715393
40,iskateley,67.6803,53.1512,11.32,78,5,1.04,RU,1691715692
41,cockburn town,21.4612,-71.1419,28.92,85,100,9.21,TC,1691715395
42,celestun,20.8667,-90.4,29.2,80,15,7.79,MX,1691715692
43,olonkinbyen,70.9221,-8.7187,6.45,99,99,3.61,SJ,1691715693
44,great falls,47.5002,-111.3008,26.66,26,75,8.75,US,1691715693
45,isangel,-19.55,169.2667,23.06,56,75,3.09,VU,1691715430
46,hawaiian paradise park,19.5933,-154.9731,28.74,78,34,4.78,US,1691715693
47,nar'yan-mar,67.6713,53.087,11.35,79,5,1.07,RU,1691715693
